
Instances/X\X-n101-k25.vrp,28032,4.38863
Instances/X\X-n106-k14.vrp,26624,7.04106
Instances/X\X-n110-k13.vrp,15129,13.1516
Instances/X\X-n115-k10.vrp,13093,6.76983
Instances/X\X-n120-k6.vrp,13476,18.8462
Instances/X\X-n125-k30.vrp,57635,4.52127
Instances/X\X-n129-k18.vrp,30224,4.99899
Instances/X\X-n134-k13.vrp,11088,7.1839
Instances/X\X-n139-k10.vrp,14512,8.76771
Instances/X\X-n143-k7.vrp,16449,18.1662
Instances/X\X-n148-k46.vrp,44326,5.23057
Instances/X\X-n153-k22.vrp,21538,52.9333
Instances/X\X-n157-k13.vrp,17039,29.6974
Instances/X\X-n162-k11.vrp,14799,24.1915
Instances/X\X-n167-k10.vrp,21386,26.6691
Instances/X\X-n172-k51.vrp,47021,6.19297
Instances/X\X-n176-k26.vrp,49622,23.847
Instances/X\X-n181-k23.vrp,25694,45.2568
Instances/X\X-n186-k15.vrp,24727,35.7935
Instances/X\X-n190-k8.vrp,17308,52.964
Instances/X\X-n195-k51.vrp,44525,18.6705
Instances/X\X-n101-k25.vrp,28032,4.73016
Instances/X\X-n1001-k43.vrp,76839,58.1251
Instances/X\X-n195-k51.vrp,45922,13.358
Instances/X\X-n1001-k43.vrp,76790,59.0259
Instances/X\X-n1001-k43.vrp,76790,59.0447
Instances/X\X-n1001-k43.vrp,76819,59.0335
Instances/X\X-n1001-k43.vrp,76790,59.1177
Instances/X\X-n1001-k43.vrp,76728,59.0932
Instances/X\X-n139-k10.vrp,15483,10.283
Instances/X\X-n139-k10.vrp,13889,509.849
